,time,education,difficulty
967,1159.22,,
968,641.927,,
969,1606.315,,
970,1247.356,,
971,2192.687,,
972,990.1060000000001,,
973,1611.705,,
974,851.887,,
975,1930.965,,
976,3033.5290000000005,,
977,49.821000000000005,,
978,437.341,,
979,621.877,,
980,299.789,,
981,1796.995,,
982,2913.5490000000004,,
983,2022.756,,
984,3785.116,,
985,1459.225,,
986,1095.079,,
987,1049.708,,
988,,,
989,,,
990,43.083,1.0,1.0
991,75.19800000000001,1.0,1.0
992,242.856,1.0,1.0
993,41.562,,
994,40.38,,
995,29.896,,
996,251.18200000000002,,
997,211.78,,
998,331.798,,
999,162.94,,
1000,123.316,,
1001,209.308,,
1002,324.675,,
1003,152.92700000000002,,
1004,144.791,,
1005,191.13099999999997,,
1006,201.04,,
1007,675.6360000000001,,
1008,267.38599999999997,,
1009,392.99199999999996,,
1010,817.055,,
1011,372.777,,
1012,28.29,,
1013,,,
1014,3.72,1.0,1.0
1015,,1.0,1.0
1016,32.499,1.0,1.0
1017,6.476,1.0,1.0
1018,7.471,1.0,1.0
1019,933.008,,
1020,,,
1021,,1.0,1.0
1022,,1.0,1.0
1023,,,
1024,,,
1025,,,
1026,15.040999999999999,,
1027,150.322,,
1028,,,
1029,,,
1030,,,
1031,,,
1032,3.498,,
1033,,,
1034,,,
1035,,,
1036,,,
1037,34.008,,
1038,9.709,,
1039,,,
1040,,,
1041,,,
1042,,,
1043,,,
1044,,,
1045,,,
1046,,,
1047,,,
1048,,,
1049,,,
1050,,,
1051,,,
1052,,,
1053,,,
1054,,,
1055,,,
1056,,,
1057,,,
1058,,,
1059,,,
1060,,,
1061,,,
1062,,,
1063,,,
1064,,,
1065,,,
1066,,,
1067,,,
1068,,,
1069,,,
1070,,,
1071,,,
1072,,,
1073,,,
1074,,,
1075,,,
1076,,,
1077,,,
1078,,,
1079,,,
1080,,,
1081,,,
1082,,,
1083,,,
1084,,,
1085,,,
1086,,,
1087,,,
1088,,,
1089,,,
1090,,,
1091,,,
1092,,,
1093,,,
1094,,,
1095,,,
1096,,,
1097,,,
1098,,,
1099,,,
1100,720.008,4.0,1.0
1101,541.589,4.0,1.0
1102,1245.0810000000001,,2.0
1103,1740.6970000000001,,
1104,133.243,2.0,
1105,408.361,1.0,
1106,374.218,1.0,
1107,862.878,5.0,4.0
1108,455.94800000000004,5.0,5.0
1109,349.74,2.0,
1110,193.205,1.0,1.0
1111,615.374,5.0,5.0
1112,439.608,,
1113,2123.8179999999998,,
1114,592.347,,
1115,2274.817,,
1116,445.537,,
1117,651.315,,
1118,211.16099999999997,,
1119,372.87,,
1120,143.817,,
1121,705.512,,
1122,2863.034,,
1123,6359.76,,
1124,330.892,,
1125,109.257,1.0,1.0
1126,143.143,2.0,1.0
1127,202.074,1.0,1.0
1128,223.49200000000002,1.0,1.0
1129,1556.6070000000002,3.0,1.0
1130,4473.85,5.0,5.0
1131,159.30700000000002,3.0,1.0
1132,198.63400000000001,3.0,1.0
1133,98.98700000000001,3.0,1.0
1134,290.087,3.0,2.0
1135,4097.307,,
1136,48.367,,
1137,513.649,,
1138,3945.073,,
